y,H/D,Esr/Eо
0.121,1.999,5
0.129,1.940,5
0.137,1.882,5
0.146,1.824,5
0.157,1.766,5
0.169,1.709,5
0.182,1.651,5
0.194,1.594,5
0.207,1.536,5
0.220,1.479,5
0.234,1.422,5
0.251,1.365,5
0.268,1.309,5
0.288,1.254,5
0.309,1.199,5
0.334,1.146,5
0.359,1.093,5
0.387,1.041,5
0.415,0.989,5
0.449,0.941,5
0.483,0.893,5
0.518,0.846,5
0.555,0.800,5
0.594,0.756,5
0.632,0.712,5
0.672,0.668,5
0.712,0.625,5
0.752,0.582,5
0.792,0.539,5
0.833,0.496,5
0.873,0.454,5
0.914,0.411,5
0.954,0.368,5
0.995,0.326,5
1.033,0.281,5
1.071,0.236,5
1.109,0.191,5
1.146,0.145,5
1.182,0.099,5
1.218,0.052,5
1.246,0.001,5
0.072,1.999,10
0.079,1.938,10
0.086,1.878,10
0.091,1.817,10
0.097,1.756,10
0.104,1.695,10
0.110,1.635,10
0.115,1.574,10
0.123,1.513,10
0.133,1.453,10
0.144,1.393,10
0.157,1.333,10
0.171,1.274,10
0.187,1.215,10
0.206,1.157,10
0.226,1.099,10
0.247,1.042,10
0.271,0.986,10
0.295,0.930,10
0.322,0.875,10
0.352,0.822,10
0.384,0.770,10
0.419,0.720,10
0.456,0.672,10
0.497,0.626,10
0.540,0.583,10
0.583,0.539,10
0.626,0.496,10
0.673,0.457,10
0.719,0.417,10
0.766,0.378,10
0.813,0.339,10
0.860,0.301,10
0.908,0.262,10
0.956,0.224,10
1.004,0.188,10
1.053,0.151,10
1.101,0.113,10
1.150,0.077,10
1.199,0.040,10
1.246,0.001,10
0.059,1.998,20
0.061,1.935,20
0.062,1.871,20
0.064,1.808,20
0.068,1.745,20
0.072,1.682,20
0.076,1.618,20
0.082,1.555,20
0.089,1.492,20
0.095,1.429,20
0.104,1.367,20
0.113,1.304,20
0.121,1.241,20
0.136,1.180,20
0.150,1.118,20
0.167,1.057,20
0.185,0.996,20
0.202,0.935,20
0.220,0.875,20
0.238,0.814,20
0.265,0.757,20
0.294,0.700,20
0.324,0.644,20
0.357,0.591,20
0.397,0.541,20
0.440,0.495,20
0.485,0.451,20
0.533,0.410,20
0.582,0.370,20
0.636,0.336,20
0.690,0.303,20
0.743,0.269,20
0.798,0.237,20
0.853,0.206,20
0.909,0.177,20
0.966,0.149,20
1.023,0.121,20
1.079,0.092,20
1.136,0.063,20
1.191,0.032,20
1.246,0.001,20
0.042,1.997,30
0.045,1.932,30
0.048,1.866,30
0.051,1.800,30
0.054,1.735,30
0.057,1.669,30
0.060,1.604,30
0.064,1.538,30
0.067,1.473,30
0.072,1.407,30
0.080,1.342,30
0.087,1.277,30
0.095,1.212,30
0.104,1.147,30
0.113,1.082,30
0.124,1.017,30
0.138,0.953,30
0.152,0.888,30
0.166,0.825,30
0.183,0.761,30
0.202,0.698,30
0.225,0.637,30
0.250,0.576,30
0.280,0.518,30
0.316,0.463,30
0.359,0.414,30
0.407,0.368,30
0.459,0.329,30
0.517,0.297,30
0.576,0.270,30
0.636,0.243,30
0.696,0.216,30
0.757,0.191,30
0.818,0.167,30
0.879,0.144,30
0.941,0.121,30
1.002,0.098,30
1.064,0.076,30
1.125,0.053,30
1.187,0.029,30
1.246,0.001,30
0.022,1.997,50
0.024,1.930,50
0.026,1.862,50
0.029,1.795,50
0.032,1.727,50
0.036,1.660,50
0.040,1.592,50
0.043,1.525,50
0.047,1.457,50
0.051,1.390,50
0.056,1.323,50
0.064,1.255,50
0.072,1.188,50
0.079,1.121,50
0.086,1.054,50
0.096,0.987,50
0.107,0.920,50
0.117,0.854,50
0.128,0.787,50
0.142,0.721,50
0.157,0.655,50
0.174,0.590,50
0.198,0.527,50
0.225,0.465,50
0.258,0.406,50
0.305,0.357,50
0.356,0.314,50
0.413,0.278,50
0.475,0.251,50
0.537,0.224,50
0.601,0.202,50
0.665,0.181,50
0.729,0.159,50
0.794,0.140,50
0.858,0.120,50
0.923,0.101,50
0.988,0.081,50
1.052,0.061,50
1.117,0.042,50
1.182,0.022,50
1.246,0.001,50
