y,H/D,Esr/Eo
3.165,1.939,2
3.068,1.985,2
2.971,2.030,2
2.874,2.075,2
2.776,2.120,2
2.679,2.165,2
2.582,2.211,2
2.485,2.256,2
2.388,2.301,2
2.291,2.346,2
2.193,2.391,2
2.100,2.444,2
2.009,2.500,2
1.918,2.556,2
1.827,2.613,2
1.736,2.669,2
1.645,2.726,2
1.565,2.798,2
1.486,2.870,2
1.406,2.941,2
1.327,3.013,2
1.256,3.094,2
1.190,3.178,2
1.127,3.264,2
1.071,3.356,2
1.016,3.447,2
0.960,3.539,2
0.905,3.631,2
0.860,3.728,2
0.820,3.827,2
0.780,3.927,2
0.741,4.026,2
0.708,4.128,2
0.680,4.232,2
0.651,4.335,2
0.623,4.438,2
0.601,4.543,2
0.585,4.649,2
0.568,4.755,2
0.552,4.861,2
0.535,4.967,2
0.451,4.967,3
0.463,4.849,3
0.476,4.732,3
0.488,4.615,3
0.501,4.497,3
0.516,4.381,3
0.537,4.265,3
0.558,4.148,3
0.581,4.033,3
0.614,3.920,3
0.647,3.806,3
0.679,3.693,3
0.712,3.580,3
0.746,3.467,3
0.791,3.358,3
0.837,3.249,3
0.882,3.140,3
0.939,3.037,3
1.003,2.938,3
1.067,2.839,3
1.134,2.742,3
1.218,2.660,3
1.302,2.577,3
1.386,2.494,3
1.476,2.419,3
1.570,2.347,3
1.664,2.276,3
1.764,2.214,3
1.867,2.157,3
1.971,2.100,3
2.074,2.043,3
2.181,1.994,3
2.289,1.946,3
2.397,1.899,3
2.505,1.851,3
2.613,1.804,3
2.723,1.761,3
2.834,1.722,3
2.945,1.683,3
3.057,1.644,3
3.168,1.605,3
0.395,4.979,5
0.402,4.853,5
0.409,4.728,5
0.416,4.602,5
0.424,4.477,5
0.431,4.351,5
0.446,4.227,5
0.465,4.102,5
0.484,3.978,5
0.503,3.854,5
0.532,3.732,5
0.562,3.610,5
0.592,3.488,5
0.631,3.368,5
0.671,3.249,5
0.715,3.131,5
0.760,3.014,5
0.813,2.900,5
0.870,2.788,5
0.934,2.680,5
1.001,2.574,5
1.076,2.473,5
1.150,2.371,5
1.237,2.280,5
1.327,2.193,5
1.423,2.112,5
1.526,2.040,5
1.630,1.971,5
1.741,1.910,5
1.851,1.849,5
1.967,1.802,5
2.084,1.756,5
2.201,1.710,5
2.318,1.664,5
2.436,1.620,5
2.556,1.584,5
2.676,1.548,5
2.797,1.512,5
2.917,1.476,5
3.038,1.440,5
3.158,1.405,5
0.346,4.970,7
0.352,4.840,7
0.357,4.710,7
0.363,4.580,7
0.368,4.451,7
0.382,4.321,7
0.398,4.192,7
0.415,4.063,7
0.431,3.934,7
0.455,3.807,7
0.480,3.679,7
0.505,3.551,7
0.541,3.427,7
0.583,3.304,7
0.625,3.181,7
0.668,3.058,7
0.716,2.937,7
0.767,2.817,7
0.823,2.700,7
0.879,2.583,7
0.941,2.469,7
1.022,2.368,7
1.103,2.266,7
1.184,2.164,7
1.270,2.067,7
1.371,1.985,7
1.472,1.903,7
1.573,1.821,7
1.685,1.758,7
1.803,1.701,7
1.920,1.645,7
2.037,1.589,7
2.161,1.549,7
2.285,1.511,7
2.409,1.472,7
2.534,1.436,7
2.660,1.404,7
2.786,1.371,7
2.912,1.339,7
3.038,1.306,7
3.164,1.274,7
0.299,4.964,10
0.305,4.829,10
0.310,4.695,10
0.316,4.561,10
0.322,4.426,10
0.334,4.292,10
0.346,4.158,10
0.358,4.025,10
0.383,3.892,10
0.408,3.760,10
0.433,3.628,10
0.463,3.497,10
0.493,3.366,10
0.524,3.235,10
0.564,3.107,10
0.604,2.978,10
0.649,2.852,10
0.698,2.726,10
0.747,2.601,10
0.811,2.483,10
0.876,2.365,10
0.946,2.251,10
1.023,2.140,10
1.108,2.037,10
1.207,1.946,10
1.306,1.855,10
1.408,1.768,10
1.514,1.685,10
1.628,1.615,10
1.750,1.558,10
1.872,1.502,10
1.998,1.455,10
2.125,1.411,10
2.252,1.367,10
2.380,1.326,10
2.511,1.296,10
2.642,1.265,10
2.773,1.235,10
2.904,1.204,10
3.035,1.174,10
3.166,1.144,10
0.267,4.967,15
0.273,4.828,15
0.278,4.689,15
0.284,4.550,15
0.292,4.412,15
0.303,4.273,15
0.313,4.135,15
0.329,3.997,15
0.349,3.859,15
0.369,3.722,15
0.390,3.585,15
0.418,3.449,15
0.447,3.313,15
0.475,3.177,15
0.515,3.043,15
0.555,2.910,15
0.595,2.777,15
0.635,2.644,15
0.685,2.515,15
0.736,2.386,15
0.797,2.261,15
0.867,2.142,15
0.940,2.023,15
1.030,1.918,15
1.120,1.812,15
1.228,1.726,15
1.340,1.643,15
1.455,1.565,15
1.571,1.488,15
1.697,1.430,15
1.823,1.371,15
1.953,1.323,15
2.086,1.282,15
2.218,1.241,15
2.352,1.203,15
2.487,1.173,15
2.623,1.143,15
2.759,1.113,15
2.894,1.083,15
3.030,1.053,15
3.166,1.023,15
0.223,4.968,20
0.233,4.826,20
0.243,4.684,20
0.253,4.542,20
0.264,4.399,20
0.274,4.257,20
0.284,4.115,20
0.294,3.973,20
0.312,3.831,20
0.330,3.690,20
0.349,3.548,20
0.368,3.407,20
0.393,3.267,20
0.422,3.127,20
0.453,2.988,20
0.485,2.849,20
0.529,2.713,20
0.575,2.578,20
0.621,2.443,20
0.673,2.311,20
0.736,2.183,20
0.807,2.059,20
0.880,1.937,20
0.961,1.821,20
1.065,1.723,20
1.169,1.625,20
1.283,1.541,20
1.400,1.459,20
1.522,1.385,20
1.652,1.328,20
1.784,1.274,20
1.920,1.230,20
2.056,1.186,20
2.191,1.142,20
2.329,1.105,20
2.467,1.071,20
2.606,1.037,20
2.744,1.004,20
2.884,0.975,20
3.024,0.946,20
3.163,0.917,20
0.192,4.970,25
0.204,4.824,25
0.215,4.678,25
0.226,4.532,25
0.237,4.386,25
0.248,4.240,25
0.260,4.094,25
0.271,3.948,25
0.282,3.801,25
0.295,3.655,25
0.309,3.510,25
0.323,3.364,25
0.339,3.218,25
0.363,3.074,25
0.392,2.930,25
0.430,2.788,25
0.468,2.647,25
0.506,2.505,25
0.555,2.367,25
0.604,2.229,25
0.666,2.097,25
0.739,1.970,25
0.813,1.843,25
0.908,1.732,25
1.011,1.628,25
1.120,1.530,25
1.229,1.432,25
1.349,1.350,25
1.476,1.275,25
1.602,1.201,25
1.734,1.141,25
1.875,1.098,25
2.015,1.056,25
2.159,1.027,25
2.302,0.998,25
2.446,0.969,25
2.590,0.940,25
2.733,0.910,25
2.876,0.879,25
3.019,0.848,25
3.163,0.818,25
0.162,4.971,30
0.171,4.821,30
0.180,4.671,30
0.190,4.520,30
0.199,4.370,30
0.208,4.220,30
0.218,4.070,30
0.229,3.920,30
0.241,3.770,30
0.252,3.620,30
0.264,3.470,30
0.277,3.320,30
0.290,3.170,30
0.314,3.021,30
0.339,2.873,30
0.367,2.725,30
0.398,2.578,30
0.429,2.430,30
0.465,2.284,30
0.511,2.141,30
0.582,2.008,30
0.656,1.877,30
0.741,1.754,30
0.827,1.630,30
0.936,1.526,30
1.046,1.423,30
1.167,1.334,30
1.290,1.248,30
1.420,1.173,30
1.553,1.102,30
1.691,1.043,30
1.834,0.996,30
1.978,0.953,30
2.126,0.924,30
2.273,0.895,30
2.421,0.866,30
2.569,0.837,30
2.716,0.806,30
2.863,0.774,30
3.010,0.742,30
3.157,0.711,30
