y,H/D,Fi
3.165,1.745,46
3.086,1.701,46
3.007,1.658,46
2.927,1.614,46
2.848,1.570,46
2.769,1.527,46
2.690,1.483,46
2.611,1.440,46
2.532,1.396,46
2.453,1.352,46
2.374,1.309,46
2.295,1.265,46
2.215,1.221,46
2.136,1.178,46
2.057,1.134,46
1.978,1.091,46
1.899,1.047,46
1.820,1.003,46
1.741,0.960,46
1.662,0.916,46
1.582,0.872,46
1.503,0.829,46
1.424,0.785,46
1.345,0.742,46
1.266,0.698,46
1.187,0.654,46
1.108,0.611,46
1.029,0.567,46
0.949,0.523,46
0.870,0.480,46
0.791,0.436,46
0.712,0.393,46
0.633,0.349,46
0.554,0.305,46
0.475,0.262,46
0.396,0.218,46
0.316,0.174,46
0.237,0.131,46
0.158,0.087,46
0.079,0.044,46
0.000,0.000,46
3.177,1.991,44
3.097,1.942,44
3.018,1.892,44
2.939,1.842,44
2.859,1.792,44
2.780,1.743,44
2.700,1.693,44
2.621,1.643,44
2.541,1.593,44
2.462,1.543,44
2.383,1.494,44
2.303,1.444,44
2.224,1.394,44
2.144,1.344,44
2.065,1.294,44
1.986,1.245,44
1.906,1.195,44
1.827,1.145,44
1.747,1.095,44
1.668,1.046,44
1.588,0.996,44
1.509,0.946,44
1.430,0.896,44
1.350,0.846,44
1.271,0.797,44
1.191,0.747,44
1.112,0.697,44
1.032,0.647,44
0.953,0.597,44
0.874,0.548,44
0.794,0.498,44
0.715,0.448,44
0.635,0.398,44
0.556,0.349,44
0.477,0.299,44
0.397,0.249,44
0.318,0.199,44
0.238,0.149,44
0.159,0.100,44
0.079,0.050,44
0.000,0.000,44
3.165,2.232,42
3.086,2.176,42
3.007,2.120,42
2.927,2.065,42
2.848,2.009,42
2.769,1.953,42
2.690,1.897,42
2.611,1.841,42
2.532,1.786,42
2.453,1.730,42
2.374,1.674,42
2.295,1.618,42
2.215,1.562,42
2.136,1.507,42
2.057,1.451,42
1.978,1.395,42
1.899,1.339,42
1.820,1.283,42
1.741,1.228,42
1.662,1.172,42
1.582,1.116,42
1.503,1.060,42
1.424,1.004,42
1.345,0.949,42
1.266,0.893,42
1.187,0.837,42
1.108,0.781,42
1.029,0.725,42
0.949,0.670,42
0.870,0.614,42
0.791,0.558,42
0.712,0.502,42
0.633,0.446,42
0.554,0.391,42
0.475,0.335,42
0.396,0.279,42
0.316,0.223,42
0.237,0.167,42
0.158,0.112,42
0.079,0.056,42
0.000,0.000,42
3.165,2.497,40
3.086,2.434,40
3.007,2.372,40
2.927,2.309,40
2.848,2.247,40
2.769,2.185,40
2.690,2.122,40
2.611,2.060,40
2.532,1.997,40
2.453,1.935,40
2.374,1.872,40
2.295,1.810,40
2.215,1.748,40
2.136,1.685,40
2.057,1.623,40
1.978,1.560,40
1.899,1.498,40
1.820,1.436,40
1.741,1.373,40
1.662,1.311,40
1.582,1.248,40
1.503,1.186,40
1.424,1.123,40
1.345,1.061,40
1.266,0.999,40
1.187,0.936,40
1.108,0.874,40
1.029,0.811,40
0.949,0.749,40
0.870,0.687,40
0.791,0.624,40
0.712,0.562,40
0.633,0.499,40
0.554,0.437,40
0.475,0.374,40
0.396,0.312,40
0.316,0.250,40
0.237,0.187,40
0.158,0.125,40
0.079,0.062,40
0.000,0.000,40
3.153,2.719,38
3.074,2.651,38
2.995,2.583,38
2.916,2.515,38
2.838,2.447,38
2.759,2.379,38
2.680,2.311,38
2.601,2.243,38
2.522,2.175,38
2.443,2.107,38
2.365,2.039,38
2.286,1.971,38
2.207,1.903,38
2.128,1.835,38
2.049,1.767,38
1.971,1.699,38
1.892,1.631,38
1.813,1.563,38
1.734,1.495,38
1.655,1.428,38
1.576,1.360,38
1.498,1.292,38
1.419,1.224,38
1.340,1.156,38
1.261,1.088,38
1.182,1.020,38
1.103,0.952,38
1.025,0.884,38
0.946,0.816,38
0.867,0.748,38
0.788,0.680,38
0.709,0.612,38
0.631,0.544,38
0.552,0.476,38
0.473,0.408,38
0.394,0.340,38
0.315,0.272,38
0.236,0.204,38
0.158,0.136,38
0.079,0.068,38
0.000,0.000,38
3.159,2.942,36
3.080,2.868,36
3.001,2.795,36
2.922,2.721,36
2.843,2.647,36
2.764,2.574,36
2.685,2.500,36
2.606,2.427,36
2.527,2.353,36
2.448,2.280,36
2.369,2.206,36
2.290,2.133,36
2.211,2.059,36
2.132,1.986,36
2.053,1.912,36
1.974,1.838,36
1.895,1.765,36
1.816,1.691,36
1.737,1.618,36
1.658,1.544,36
1.579,1.471,36
1.500,1.397,36
1.421,1.324,36
1.342,1.250,36
1.264,1.177,36
1.185,1.103,36
1.106,1.030,36
1.027,0.956,36
0.948,0.882,36
0.869,0.809,36
0.790,0.735,36
0.711,0.662,36
0.632,0.588,36
0.553,0.515,36
0.474,0.441,36
0.395,0.368,36
0.316,0.294,36
0.237,0.221,36
0.158,0.147,36
0.079,0.074,36
0.000,0.000,36
3.153,3.182,34
3.074,3.103,34
2.995,3.023,34
2.916,2.943,34
2.838,2.864,34
2.759,2.784,34
2.680,2.705,34
2.601,2.625,34
2.522,2.546,34
2.443,2.466,34
2.365,2.387,34
2.286,2.307,34
2.207,2.227,34
2.128,2.148,34
2.049,2.068,34
1.971,1.989,34
1.892,1.909,34
1.813,1.830,34
1.734,1.750,34
1.655,1.671,34
1.576,1.591,34
1.498,1.512,34
1.419,1.432,34
1.340,1.352,34
1.261,1.273,34
1.182,1.193,34
1.103,1.114,34
1.025,1.034,34
0.946,0.955,34
0.867,0.875,34
0.788,0.796,34
0.709,0.716,34
0.631,0.636,34
0.552,0.557,34
0.473,0.477,34
0.394,0.398,34
0.315,0.318,34
0.236,0.239,34
0.158,0.159,34
0.079,0.080,34
0.000,0.000,34
3.159,3.393,32
3.080,3.308,32
3.001,3.223,32
2.922,3.138,32
2.843,3.053,32
2.764,2.969,32
2.685,2.884,32
2.606,2.799,32
2.527,2.714,32
2.448,2.629,32
2.369,2.544,32
2.290,2.460,32
2.211,2.375,32
2.132,2.290,32
2.053,2.205,32
1.974,2.120,32
1.895,2.036,32
1.816,1.951,32
1.737,1.866,32
1.658,1.781,32
1.579,1.696,32
1.500,1.611,32
1.421,1.527,32
1.342,1.442,32
1.264,1.357,32
1.185,1.272,32
1.106,1.187,32
1.027,1.103,32
0.948,1.018,32
0.869,0.933,32
0.790,0.848,32
0.711,0.763,32
0.632,0.679,32
0.553,0.594,32
0.474,0.509,32
0.395,0.424,32
0.316,0.339,32
0.237,0.254,32
0.158,0.170,32
0.079,0.085,32
0.000,0.000,32
3.171,3.675,30
3.092,3.583,30
3.012,3.491,30
2.933,3.400,30
2.854,3.308,30
2.774,3.216,30
2.695,3.124,30
2.616,3.032,30
2.537,2.940,30
2.457,2.848,30
2.378,2.756,30
2.299,2.665,30
2.220,2.573,30
2.140,2.481,30
2.061,2.389,30
1.982,2.297,30
1.903,2.205,30
1.823,2.113,30
1.744,2.021,30
1.665,1.930,30
1.585,1.838,30
1.506,1.746,30
1.427,1.654,30
1.348,1.562,30
1.268,1.470,30
1.189,1.378,30
1.110,1.286,30
1.031,1.194,30
0.951,1.103,30
0.872,1.011,30
0.793,0.919,30
0.713,0.827,30
0.634,0.735,30
0.555,0.643,30
0.476,0.551,30
0.396,0.459,30
0.317,0.368,30
0.238,0.276,30
0.159,0.184,30
0.079,0.092,30
0.000,0.000,30
